iter	RMSE
0	1.55184722
1	1.52973607
2	1.519854304
3	1.509687163
4	1.505590443
5	1.492366754
6	1.483548108
7	1.465408343
8	1.45448438
9	1.451190804
10	1.446350476
11	1.438811315
12	1.41715413
13	1.390835355
14	1.385340866
15	1.379351656
16	1.365554819
17	1.335882937
18	1.330504482
19	1.324502109
20	1.304662985
21	1.29610262
22	1.28502735
23	1.278567146
24	1.274367727
25	1.263498585
26	1.257923495
27	1.253509473
28	1.248286203
29	1.236817477
30	1.224530356
31	1.218707221
32	1.208062568
33	1.190790133
34	1.17718514
35	1.173903965
36	1.16893028
37	1.163961605
38	1.160905589
39	1.152847359
40	1.14315678
41	1.13176211
42	1.116094672
43	1.110856989
44	1.102081974
45	1.092843998
46	1.08953803
47	1.08343946
48	1.079839355
49	1.064990262
50	1.061102856
51	1.055393001
52	1.049815417
53	1.045802269
54	1.041051566
55	1.03275117
56	1.025113869
57	1.016841377
58	1.010282527
59	1.000797271
60	0.9967359612
61	0.9772460825
62	0.9651015223
63	0.9612011015
64	0.9502345472
65	0.9466700177
66	0.9429643701
67	0.9351101362
68	0.9242358754
69	0.9142360013
70	0.9118826046
71	0.9061735092
72	0.8984101874
73	0.8926437894
74	0.8857358497
75	0.882051229
76	0.8786711855
77	0.8710119265
78	0.8598197243
79	0.8532012172
80	0.8434872032
81	0.8379481735
82	0.8259915234
83	0.8187005545
84	0.8117706332
85	0.7968716088
86	0.7851480824
87	0.7754450945
88	0.7680853221
89	0.7568224839
90	0.7445388563
91	0.7373532736
92	0.7310559661
93	0.7267934004
94	0.7195774325
95	0.7095913804
96	0.6990200871
97	0.6944168111
98	0.6837645855
99	0.6733277473
100	0.6652425333
101	0.6553794886
102	0.6481103692
103	0.6403453675
104	0.6368272566
105	0.6288165174
106	0.6206280939
107	0.6143165197
108	0.60584029
109	0.5986167618
110	0.592935931
111	0.583813146
112	0.577968081
113	0.5734557202
114	0.5668277171
115	0.5621841433
116	0.5555103462
117	0.5508936933
118	0.5417830995
119	0.5368918725
120	0.5343196127
121	0.5276105996
122	0.5236040286
123	0.5166798298
124	0.5107533473
125	0.5069412512
126	0.5007774704
127	0.4969740827
128	0.4933554974
129	0.49005347
130	0.4859715131
131	0.4804589115
132	0.4751742825
133	0.468857436
