iter	Passed	Remaining
0	3	2616
1	6	2306
2	10	2551
3	13	2390
4	16	2309
5	19	2236
6	22	2235
7	25	2228
8	28	2190
9	31	2170
10	34	2195
11	38	2201
12	40	2174
13	43	2168
14	47	2163
15	49	2144
16	52	2141
17	56	2138
18	59	2134
19	61	2120
20	64	2106
21	67	2108
22	71	2117
23	74	2121
24	77	2117
25	81	2121
26	84	2120
27	88	2137
28	92	2157
29	96	2162
30	99	2159
31	102	2163
32	106	2159
33	108	2149
34	112	2149
35	114	2126
36	117	2123
37	120	2116
38	123	2111
39	126	2110
40	130	2109
41	133	2107
42	136	2103
43	140	2107
44	143	2099
45	145	2091
46	149	2087
47	152	2086
48	155	2087
49	158	2080
50	162	2081
51	165	2082
52	168	2068
53	171	2065
54	174	2068
55	178	2072
56	182	2071
57	185	2071
58	189	2070
59	192	2071
60	196	2070
61	199	2067
62	202	2063
63	205	2058
64	209	2067
65	214	2079
66	218	2076
67	221	2076
68	226	2085
69	230	2087
70	232	2073
71	235	2074
72	240	2078
73	243	2076
74	247	2077
75	250	2070
76	253	2067
77	257	2066
78	260	2065
79	264	2068
80	268	2070
81	272	2069
82	275	2064
83	278	2060
84	283	2064
85	287	2069
86	291	2068
87	295	2070
88	298	2066
89	302	2068
90	306	2070
91	310	2066
92	314	2067
93	317	2065
94	321	2066
95	325	2064
96	329	2066
97	332	2061
98	336	2062
99	340	2063
100	345	2066
101	349	2066
102	353	2068
103	357	2067
104	361	2065
105	365	2065
106	369	2062
107	371	2055
108	376	2056
109	379	2055
110	383	2053
111	387	2051
112	390	2046
113	393	2041
114	397	2038
115	400	2032
116	403	2027
117	407	2028
118	412	2029
119	415	2024
120	417	2016
121	421	2014
122	423	2005
123	426	2000
124	430	1997
125	434	1994
126	437	1990
127	441	1989
128	444	1982
129	446	1975
130	450	1974
131	454	1974
132	457	1969
133	460	1961
